fighter1,fighter2,winner,method,round,McGregor,Khabib
McGregor,Khabib,McGregor,Unanimous Decision,3,17,17
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,15,18
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,14,14
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,14,13
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,16,16
Dustin Poirier,Khabib,Khabib,KO,3,12,12
Dustin Poirier,Khabib,Dustin Poirier,KO,3,15,14
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,13,16
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,14,14
Dustin Poirier,Khabib,,Majority Draw,3,15,15
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,15,17
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,12,11
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,10,12
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,12,17
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,11,9
Dustin Poirier,Khabib,,Majority Draw,3,18,17
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,8,7
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,13,18
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,17,17
Dustin Poirier,Khabib,Khabib,Submission,2,5,4
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,11,12
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,6,3
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,13,13
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,14,14
Dustin Poirier,Khabib,Dustin Poirier,Submission,1,0,0
Dustin Poirier,Khabib,Dustin Poirier,Submission,3,13,15
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,17,17
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,9,12
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,4,1
Dustin Poirier,Khabib,Khabib,Unanimous Decision,3,14,14
Dustin Poirier,Khabib,Khabib,Submission,1,1,0
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,13,13
Dustin Poirier,Khabib,Dustin Poirier,Unanimous Decision,3,10,13
Dustin Poirier,Khabib,Khabib,Submission,3,14,13
